Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-05-24 11:25:28.258043	1.0	13.5	0	0.4	0	0.0	0.0
2023-05-24 11:25:29.261625	2.0	14.5	100	0.5	0	0.0	0.0
2023-05-24 11:25:30.273649	3.0	22.9	825	0.9	0	0.0	0.0
2023-05-24 11:25:31.278517	4.0	86.9	6368	0.9	0	0.0	0.0
2023-05-24 11:25:32.283306	5.0	150.7	6352	0.9	0	0.0	0.0
2023-05-24 11:25:33.286824	6.0	175.3	2452	0.8	0	0.0	0.0
2023-05-24 11:25:34.290443	7.0	176.3	100	0.8	0	0.0	0.0
2023-05-24 11:25:35.294235	8.0	177.3	100	0.8	0	0.0	0.0
2023-05-24 11:25:36.297780	9.0	192.4	1503	0.8	0	0.0	0.0
2023-05-24 11:25:37.301262	10.0	193.4	100	0.8	0	0.0	0.0
2023-05-24 11:25:38.304575	11.1	194.4	100	0.8	0	0.0	0.0
2023-05-24 11:25:39.307857	12.1	195.4	99	0.9	0	0.0	0.0
2023-05-24 11:25:40.311432	13.1	209.0	1356	0.9	0	0.0	0.0
2023-05-24 11:25:41.314862	14.1	210.0	100	0.9	0	0.0	0.0
2023-05-24 11:25:42.318380	15.1	211.0	99	0.9	0	0.0	0.0
2023-05-24 11:25:43.321882	16.1	224.5	1350	0.9	0	0.0	0.0
2023-05-24 11:25:44.325531	17.1	225.5	100	0.9	0	0.0	0.0
2023-05-24 11:25:45.329043	18.1	226.5	100	0.9	0	0.0	0.0
