Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-05-24 11:24:38.866570	1.0	16.2	0	1.2	0	0.0	0.0
2023-05-24 11:24:39.870157	2.0	17.1	0	1.4	0	0.0	0.0
2023-05-24 11:24:40.873520	3.0	18.0	0	1.6	0	0.0	0.0
2023-05-24 11:24:41.876856	4.0	18.9	1	1.6	0	0.0	0.0
2023-05-24 11:24:42.880080	5.0	19.7	0	1.6	0	0.0	0.0
2023-05-24 11:24:43.883356	6.0	20.7	0	1.6	0	0.0	0.0
2023-05-24 11:24:44.886680	7.0	22.2	1	1.7	0	0.0	0.0
2023-05-24 11:24:45.889661	8.0	23.8	0	1.7	0	0.0	0.0
2023-05-24 11:24:46.893059	9.0	24.6	0	1.8	0	0.0	0.0
2023-05-24 11:24:47.896522	10.0	25.6	1	3.2	1	0.0	0.0
2023-05-24 11:24:48.900297	11.0	26.6	0	3.3	1	0.0	0.0
2023-05-24 11:24:49.904105	12.0	27.5	0	3.1	1	0.0	0.0
2023-05-24 11:24:50.908179	13.0	28.5	0	2.4	0	0.0	0.0
2023-05-24 11:24:51.911777	14.0	29.5	0	2.5	0	0.0	0.0
2023-05-24 11:24:52.915009	15.1	30.5	1	2.2	0	0.0	0.0
2023-05-24 11:24:53.918505	16.1	31.5	1	2.1	0	0.0	0.0
2023-05-24 11:24:54.921896	17.1	32.7	0	2.0	0	0.0	0.0
2023-05-24 11:24:55.924986	18.1	33.9	0	2.2	0	0.0	0.0
2023-05-24 11:24:56.928735	19.1	34.8	0	2.0	0	0.0	0.0
2023-05-24 11:24:57.932447	20.1	35.7	0	2.0	0	0.0	0.0
2023-05-24 11:24:58.935910	21.1	36.5	1	2.0	0	0.0	0.0
2023-05-24 11:24:59.939309	22.1	37.4	0	2.0	0	0.0	0.0
2023-05-24 11:25:00.942672	23.1	38.4	0	2.0	0	0.0	0.0
2023-05-24 11:25:01.945992	24.1	39.7	1	2.0	0	0.0	0.0
2023-05-24 11:25:02.949585	25.1	41.2	0	2.0	0	0.0	0.0
2023-05-24 11:25:03.953048	26.1	42.3	0	2.0	0	0.0	0.0
2023-05-24 11:25:04.956446	27.1	43.1	0	2.0	0	0.0	0.0
2023-05-24 11:25:05.959792	28.1	44.0	1	2.0	0	0.0	0.0
2023-05-24 11:25:06.963176	29.1	44.9	0	2.0	0	0.0	0.0
2023-05-24 11:25:07.966516	30.1	45.8	0	2.0	0	0.0	0.0
2023-05-24 11:25:08.969742	31.1	47.1	0	2.0	0	0.0	0.0
2023-05-24 11:25:09.973392	32.1	48.6	1	2.0	0	0.0	0.0
2023-05-24 11:25:10.977213	33.1	49.9	0	2.1	0	0.0	0.0
2023-05-24 11:25:11.981220	34.1	50.5	0	2.0	0	0.0	0.0
2023-05-24 11:25:12.984863	35.1	51.2	0	2.0	0	0.0	0.0
2023-05-24 11:25:13.988532	36.1	52.2	2	2.2	0	0.0	0.0
2023-05-24 11:25:14.992395	37.1	53.2	0	2.2	0	0.0	0.0
2023-05-24 11:25:15.996267	38.1	54.1	0	2.1	0	0.0	0.0
2023-05-24 11:25:17.000015	39.1	55.1	0	2.1	0	0.0	0.0
2023-05-24 11:25:18.003542	40.1	56.1	0	2.2	0	0.0	0.0
2023-05-24 11:25:19.006973	41.1	57.1	1	2.1	0	0.0	0.0
2023-05-24 11:25:20.010226	42.1	58.1	0	2.1	0	0.0	0.0
2023-05-24 11:25:21.013700	43.2	59.1	0	2.1	0	0.0	0.0
2023-05-24 11:25:22.016768	44.2	60.1	1	2.1	0	0.0	0.0
2023-05-24 11:25:23.020426	45.2	61.1	0	2.1	0	0.0	0.0
2023-05-24 11:25:24.023151	46.2	62.6	0	2.1	0	0.0	0.0
2023-05-24 11:25:25.026154	47.2	63.9	0	2.1	0	0.0	0.0
2023-05-24 11:25:26.029371	48.2	65.4	0	2.2	0	0.0	0.0
2023-05-24 11:25:27.033015	49.2	66.9	1	2.2	0	0.0	0.0
2023-05-24 11:25:28.036505	50.2	80.5	2	2.5	1	0.0	0.0
2023-05-24 11:25:29.040380	51.2	81.4	0	2.7	1	0.0	0.0
2023-05-24 11:25:30.043888	52.2	82.4	0	2.8	1	0.0	0.0
2023-05-24 11:25:31.067686	53.2	140.0	1	3.1	1	0.0	0.0
2023-05-24 11:25:32.071856	54.2	203.8	0	3.1	1	0.0	0.0
2023-05-24 11:25:33.075938	55.2	242.2	0	3.0	1	0.0	0.0
2023-05-24 11:25:34.079570	56.2	243.2	0	3.0	1	0.0	0.0
2023-05-24 11:25:35.083148	57.2	244.2	1	3.0	1	0.0	0.0
2023-05-24 11:25:36.086368	58.2	245.3	1	3.0	1	0.0	0.0
2023-05-24 11:25:37.090446	59.2	260.4	0	3.0	1	0.0	0.0
2023-05-24 11:25:38.094237	60.2	261.4	0	3.0	1	0.0	0.0
2023-05-24 11:25:39.098195	61.2	262.4	1	3.0	1	0.0	0.0
2023-05-24 11:25:40.102256	62.2	276.0	0	3.0	1	0.0	0.0
2023-05-24 11:25:41.106133	63.2	277.0	0	3.0	1	0.0	0.0
2023-05-24 11:25:42.109688	64.2	278.0	0	3.0	1	0.0	0.0
2023-05-24 11:25:43.113263	65.3	291.5	0	3.0	1	0.0	0.0
2023-05-24 11:25:44.116748	66.3	292.5	0	3.0	1	0.0	0.0
2023-05-24 11:25:45.120166	67.3	293.5	0	3.0	1	0.0	0.0
2023-05-24 11:25:46.123688	68.3	294.5	2	3.0	1	0.0	0.0
2023-05-24 11:25:47.127240	69.3	294.9	0	2.2	0	0.0	0.0
2023-05-24 11:25:48.198776	70.3	295.1	18	0.5	0	0.0	0.0
